REGION,TYPE,AREA,GENDER,MATH,READING,SCIENCE
CENTRAL,PUBLIC,RURAL,Female,523.61,473.572,484.651
CENTRAL,PUBLIC,RURAL,Female,500.242,493.588,449.217
CENTRAL,PUBLIC,RURAL,Male,380.285,299.268,400.541
CENTRAL,PUBLIC,RURAL,Male,435.668,335.195,400.634
CENTRAL,PUBLIC,RURAL,Female,473.913,401.766,387.3
CENTRAL,PUBLIC,RURAL,Female,494.244,417.176,487.169
CENTRAL,PUBLIC,RURAL,Female,495.724,399.701,466.281
CENTRAL,PUBLIC,URBAN,Male,581.718,526.058,557.385
CENTRAL,PUBLIC,URBAN,Female,522.052,515.829,562.794
CENTRAL,PUBLIC,URBAN,Female,623.469,557.451,587.784
CENTRAL,PUBLIC,URBAN,Female,510.601,544.265,546.848
CENTRAL,PUBLIC,URBAN,Female,487.856,533.939,504.14
CENTRAL,PUBLIC,URBAN,Female,579.148,595.101,548.993
CENTRAL,PUBLIC,URBAN,Male,641.229,621.65,647.65
CENTRAL,PUBLIC,URBAN,Male,599.478,505.368,602.704
CENTRAL,PUBLIC,URBAN,Female,611.162,591.288,584.055
CENTRAL,PUBLIC,URBAN,Female,577.824,543.312,591.887
CENTRAL,PUBLIC,URBAN,Female,621.756,592.083,617.997
CENTRAL,PUBLIC,URBAN,Female,562.634,568.174,496.121
CENTRAL,PUBLIC,URBAN,Female,560.375,566.506,552.07
CENTRAL,PUBLIC,URBAN,Male,680.332,662.388,622.939
CENTRAL,PUBLIC,URBAN,Female,557.805,579.136,586.292
CENTRAL,PUBLIC,URBAN,Male,695.054,538.969,610.817
CENTRAL,PUBLIC,URBAN,Female,578.057,596.61,612.402
CENTRAL,PUBLIC,URBAN,Male,537.631,505.207,533.141
CENTRAL,PUBLIC,URBAN,Female,639.048,573.655,570.72
CENTRAL,PUBLIC,URBAN,Male,508.888,477.941,536.777
CENTRAL,PUBLIC,URBAN,Male,628.221,538.087,559.25
CENTRAL,PUBLIC,URBAN,Female,589.118,531.556,593.659
CENTRAL,PUBLIC,URBAN,Female,512.627,523.534,513.558
CENTRAL,PUBLIC,URBAN,Female,652.368,629.256,659.959
CENTRAL,PUBLIC,URBAN,Male,612.409,578.986,651.567
CENTRAL,PUBLIC,URBAN,Female,543.395,587.317,530.903
CENTRAL,PUBLIC,URBAN,Female,529.53,613.37,562.98
CENTRAL,PUBLIC,URBAN,Male,554.767,543.861,607.553
CENTRAL,PUBLIC,URBAN,Female,607.034,574.529,559.53
CENTRAL,PUBLIC,URBAN,Male,607.735,559.098,554.588
CENTRAL,PUBLIC,URBAN,Female,608.748,576.832,559.903
CENTRAL,PUBLIC,URBAN,Female,654.939,565.553,650.634
CENTRAL,PUBLIC,URBAN,Female,604.619,585.728,561.115
CENTRAL,PUBLIC,URBAN,Male,645.591,557.173,645.972
CENTRAL,PUBLIC,URBAN,Male,546.355,459.176,617.624
CENTRAL,PUBLIC,URBAN,Male,489.025,421.645,540.601
CENTRAL,PUBLIC,URBAN,Male,523.61,555.89,555.334
CENTRAL,PUBLIC,URBAN,Female,359.565,397.477,390.097
CENTRAL,PUBLIC,URBAN,Male,422.426,395.341,424.879
CENTRAL,PUBLIC,URBAN,Male,380.285,376.254,396.811
CENTRAL,PUBLIC,URBAN,Female,330.433,319.634,318.668
CENTRAL,PUBLIC,URBAN,Female,398.98,401.289,399.795
CENTRAL,PUBLIC,URBAN,Male,417.908,421.003,445.487
CENTRAL,PUBLIC,URBAN,Female,388.152,467.217,452.853
CENTRAL,PUBLIC,URBAN,Male,427.177,425.815,473.741
CENTRAL,PUBLIC,URBAN,Female,424.607,433.777,454.812
CENTRAL,PUBLIC,URBAN,Male,471.655,380.104,470.664
CENTRAL,PUBLIC,URBAN,Male,414.558,438.806,388.605
CENTRAL,PUBLIC,URBAN,Male,375.923,360.216,405.017
CENTRAL,PUBLIC,URBAN,Female,396.721,428.375,445.767
CENTRAL,PUBLIC,URBAN,Male,407.47,407.29,388.605
CENTRAL,PUBLIC,URBAN,Male,448.52,387.963,488.381
CENTRAL,PUBLIC,URBAN,Male,540.201,473.129,550.578
CENTRAL,PUBLIC,URBAN,Male,299.743,322.364,314.006
CENTRAL,PUBLIC,URBAN,Male,375.767,358.932,406.882
SOUTH,PUBLIC,RURAL,Female,522.052,593.671,576.781
SOUTH,PUBLIC,RURAL,Female,476.873,516.623,509.642
SOUTH,PUBLIC,RURAL,Female,427.878,507.727,442.596
SOUTH,PUBLIC,RURAL,Male,423.36,422.607,472.529
SOUTH,PUBLIC,RURAL,Male,501.799,514.991,527.546
SOUTH,PUBLIC,RURAL,Male,453.739,510.821,497.706
SOUTH,PUBLIC,RURAL,Female,442.678,492.715,440.172
